idx,p808_mos,mos_sig,mos_bak,mos_ovr
223,3.6427572114127034,3.1644364419656283,3.731675611433101,2.7639893577639407
224,3.649221658706665,3.2414020481477115,3.303757466724975,2.6395953934008656
225,3.6508500576019287,3.512782180286333,4.034109334067502,3.193841104507737
226,3.269119501113892,3.392339509989278,3.620349063565429,2.849765578972217
227,3.1242263317108154,3.358307491957833,3.714877814730662,2.894346623823255
228,3.042081594467163,3.595566094828783,4.121883751611176,3.315966530099178
229,3.30816650390625,3.435745498246689,3.906976788834871,3.064195313872099
230,3.698545694351196,3.275384238509688,3.375687480886313,2.722871721040017
231,2.6216931343078613,3.050011846986915,3.882162290398293,2.7629834236676745
232,2.408220767974853,1.934938361153492,3.1179457633914307,1.599426529172093
233,2.968628168106079,3.185850476893713,3.355141183517265,2.6342624394494725
234,3.164651870727539,3.3593610145314656,3.97003131235353,3.0654340518619483
235,3.441890001296997,3.5005833522150134,3.363991046853364,2.8641912012330346
236,2.47291898727417,1.7671551794242015,2.89880428244683,1.4525195489437284
237,3.2638604640960693,3.364610760332692,3.575003852647733,2.892928256609465
238,2.6955692768096924,3.229798352411502,3.888642935905585,2.8367820977017573
239,3.393369436264038,3.4124178066080364,4.097869919015724,3.1768886081855703
240,3.3246641159057617,3.149351742163061,3.9371050777692,2.8519326873684405
241,3.2386157512664795,3.4603561309535142,3.851450704960338,3.100032476351249
242,3.238848924636841,3.462507814512983,3.8931371825744474,3.085132637409603
243,2.5546858310699463,3.094094194724252,3.411545635653592,2.543325502377299
244,3.4576234817504883,3.5381806248270613,4.028838409369936,3.251808294481287
245,2.9319701194763184,3.188019081655667,3.5593765017273555,2.6527693746903034
246,2.5001678466796875,3.0539154844031984,2.689590901475182,2.185293548646745
247,3.2920870780944824,3.1984373330303937,2.891634357250025,2.4408485415105434
248,3.4098830223083496,3.383057187308869,3.743462097381286,2.992599902768124
249,3.557647943496704,2.9737877271683377,3.7884710225427463,2.6884736432548912
250,3.301436424255371,3.216420312756993,3.4741427320930267,2.660508259075131
251,3.4308974742889404,3.376399852726958,3.955724956820161,3.034630504883673
252,3.082322120666504,3.3447921160677785,3.494535554700588,2.8131919824071794
253,3.620358467102051,3.478175744265886,3.9995421682670687,3.15214557644318
254,2.909076690673828,2.977641657797041,2.87535215725489,2.1946094149689346
255,2.7874138355255127,3.358830864967139,3.657248183838801,2.8920339551045458
256,2.9464991092681885,3.58641216353103,4.149412526153836,3.3641234559832878
257,2.9889373779296875,2.639776172771458,2.461945133980572,1.8503553943512352
258,3.291233777999878,3.2672356004353342,3.67827129402552,2.862756854375505
259,2.702875852584839,3.0114827071787977,2.658793211896472,2.113549916117449
260,3.7111082077026367,3.0921391301396293,3.9683525662393455,2.7949912913868533
261,3.027696371078491,3.081291798432785,4.010745810749454,2.854410883202592
262,3.733804702758789,3.605178193022452,3.9858789770321774,3.280366842612708
263,3.5807619094848637,3.4776738828075806,4.092705436033574,3.2359137968071607
264,3.1475207805633545,2.42894156444799,2.8448899218119794,1.8302043278798432
265,2.6880152225494385,3.422996318979548,2.499108007710816,2.413365876405769
266,3.3422772884368896,3.403797844131373,2.8102436389204173,2.5401726964106173
267,2.945685625076294,3.3356010789116644,3.678567557861816,2.878380616080037
268,2.6955971717834477,2.617774494824173,3.5594100866099554,2.246457247153053
269,3.5056989192962646,3.362658372104107,3.97421724958368,3.0575798254983635
270,3.546419620513916,3.4664291247756123,3.9630090796291855,3.1625540994740438
